pop2022,pop2023,country,area,landAreaKm,growthRate,worldPercentage,density,densityMi,rank
1417173173,1428627663,India,3287590,2973190,0.0081,0.1785,480.5033,1244.5036,1
1425887337,1425671352,China,9706961,9424702.9,-0.0002,0.1781,151.2696,391.7884,2
338289857,339996563,United States,9372610,9147420,0.005,0.0425,37.1686,96.2666,3
275501339,277534122,Indonesia,1904569,1877519,0.0074,0.0347,147.8196,382.8528,4
235824862,240485658,Pakistan,881912,770880,0.0198,0.03,311.9625,807.9829,5
218541212,223804632,Nigeria,923768,910770,0.0241,0.028,245.7312,636.4439,6
215313498,216422446,Brazil,8515767,8358140,0.0052,0.027,25.8936,67.0645,7
171186372,172954319,Bangladesh,147570,130170,0.0103,0.0216,1328.6803,3441.2821,8
144713314,144444359,Russia,17098242,16376870,-0.0019,0.018,8.82,22.8439,9
127504125,128455567,Mexico,1964375,1943950,0.0075,0.016,66.0797,171.1463,10
123379924,126527060,Ethiopia,1104300,1128571.3,0.0255,0.0158,112.1126,290.3716,11
123951692,123294513,Japan,377930,364500,-0.0053,0.0154,338.2566,876.0845,12
115559009,117337368,Philippines,342353,298170,0.0154,0.0147,393.5251,1019.2299,13
110990103,112716598,Egypt,1002450,995450,0.0156,0.0141,113.2318,293.2704,14
99010212,102262808,DR Congo,2344858,2267050,0.0329,0.0128,45.1083,116.8305,15
98186856,98858950,Vietnam,331212,313429,0.0068,0.0123,315.411,816.9145,16
88550570,89172767,Iran,1648195,1622500,0.007,0.0111,54.9601,142.3467,17
85341241,85816199,Turkey,783562,783562,0.0056,0.0107,109.5206,283.6584,18
83369843,83294633,Germany,357114,349390,-0.0009,0.0104,238.4002,617.4564,19
71697030,71801279,Thailand,513120,510890,0.0015,0.009,140.5416,364.0026,20
67508936,67736802,United Kingdom,242900,241930,0.0034,0.0085,279.9851,725.1615,21
65497748,67438106,Tanzania,945087,885800,0.0296,0.0084,76.1324,197.183,22
64626628,64756584,France,551695,547557,0.002,0.0081,118.2646,306.3052,23
59893885,60414495,South Africa,1221037,1213090,0.0087,0.0075,49.8022,128.9876,24
59037474,58870762,Italy,301336,295717,-0.0028,0.0074,199.078,515.6121,25
54027487,55100586,Kenya,580367,569140,0.0199,0.0069,96.8138,250.7477,26
54179306,54577997,Myanmar,676578,652670,0.0074,0.0068,83.6227,216.5827,27
51874024,52085168,Colombia,1141748,1109500,0.0041,0.0065,46.9447,121.5868,28
51815810,51784059,South Korea,100210,97600,-0.0006,0.0065,530.5744,1374.1876,29
47249585,48582334,Uganda,241550,200520,0.0282,0.0061,242.2817,627.5097,30
46874204,48109006,Sudan,1886068,1868000,0.0263,0.006,25.7543,66.7036,31
47558630,47519628,Spain,505992,499556.6,-0.0008,0.0059,95.1236,246.3702,32
45510318,45773884,Argentina,2780400,2736690,0.0058,0.0057,16.726,43.3203,33
44903225,45606480,Algeria,2381741,2381741,0.0157,0.0057,19.1484,49.5943,34
44496122,45504560,Iraq,438317,434128,0.0227,0.0057,104.8183,271.4794,35
41128771,42239854,Afghanistan,652230,652230,0.027,0.0053,64.7622,167.7341,36
39857145,41026067,Poland,312679,306130,0.0293,0.0051,134.0152,347.0993,37
38454327,38781291,Canada,9984670,8965590,0.0085,0.0048,4.3256,11.2032,38
37457971,37840044,Morocco,446550,446300,0.0102,0.0047,84.7861,219.596,39
36408820,36947025,Saudi Arabia,2149690,2149690,0.0148,0.0046,17.1871,44.5147,40
39701739,36744634,Ukraine,603500,579400,-0.0745,0.0046,63.4184,164.2537,41
35588987,36684202,Angola,1246700,1246700,0.0308,0.0046,29.425,76.2109,42
